County,City,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Utility,Count
ALL,ALL,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),ALL,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),12743
King,ALL,ALL,ALL,MODEL Y,Battery Electric Vehicle (BEV),ALL,ALL,20999
King,ALL,ALL,ALL,MODEL 3,ALL,ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),11384
King,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,51654
ALL,Seattle,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),ALL,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),11347
King,ALL,ALL,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),35086
King,Seattle,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),ALL,ALL,11900
ALL,ALL,ALL,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,ALL,10753
ALL,ALL,2023,TESLA,MODEL Y,ALL,Eligibility unknown as battery range has not been researched,ALL,19062
ALL,ALL,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC,11304
King,ALL,ALL,TESLA,MODEL Y,ALL,Eligibility unknown as battery range has not been researched,ALL,19717
King,Seattle,ALL,ALL,ALL,ALL,Eligibility unknown as battery range has not been researched,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),14556
King,Seattle,ALL,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,15254
ALL,ALL,2023,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),20962
King,ALL,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,ALL,14121
King,ALL,ALL,ALL,MODEL 3,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),11384
ALL,ALL,2023,TESLA,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,28609
King,ALL,ALL,ALL,MODEL Y,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),15373
ALL,ALL,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),24320
Snohomish,ALL,ALL,TESLA,ALL,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC,10608
King,ALL,2022,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,12776
ALL,ALL,2023,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC,10961
ALL,ALL,ALL,TESLA,MODEL Y,ALL,Eligibility unknown as battery range has not been researched,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),15422
ALL,ALL,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),ALL,ALL,19062
King,ALL,2023,ALL,ALL,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,ALL,27931
ALL,ALL,ALL,TESLA,MODEL Y,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),16338
ALL,ALL,2023,TESLA,ALL,Battery Electric Vehicle (BEV),ALL,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),12890
King,ALL,ALL,TESLA,MODEL 3,Battery Electric Vehicle (BEV),ALL,ALL,16807
King,ALL,2023,ALL,MODEL Y,Battery Electric Vehicle (BEV),ALL,ALL,10725
